Clinical Neurology and Neurosurgery , (' Clinical neurology and neurosurgery', 100, 2903) , [' Clin Neurol Neurosurg']
Clinical Radiology , (' Clinical radiology', 100, 2941) , [' Clin Radiol']
Cognition , (' Cognition', 100, 2969) , [' Cognition']
Cognitive Development , (' Cognitive development', 100, 19951) , [' Cogn Dev']
Consciousness & Cognition , (' Consciousness and cognition', 95, 8307) , [' Conscious Cogn']
Consciousness and Cognition , (' Consciousness and cognition', 100, 8307) , [' Conscious Cogn']
Cortex , (' Cerebral cortex New York NY  1991', 90, 2094) , [' Cereb Cortex']
Current Biology , (' Current biology  CB', 95, 8105) , [' Curr Biol']
CURRENT BIOLOGY , (' Current biology  CB', 95, 8105) , [' Curr Biol']
Current Opinion in Neurobiology  , (' Current opinion in neurobiology', 100, 2122) , [' Curr Opin Neurobiol']
Current Opinion Microbiology , (' Current microbiology', 95, 2197) , [' Curr Microbiol']
Current Opinions in Neurobiology , (' Current opinion in neurobiology', 98, 2122) , [' Curr Opin Neurobiol']
DEVELOPMENT CELL , (' Developmental cell', 94, 9951) , [' Dev Cell']
Developmental Biology , (' Developmental biology', 100, 3256) , [' Dev Biol']
Developmental Cognitive Neuroscience  , (' Developmental cognitive neuroscience', 100, 23927) , [' Dev Cogn Neurosci']
Diagnostic Microbiology and Infectious Disease , (' Diagnostic microbiology and infectious disease', 100, 2970) , [' Diagn Microbiol Infect Dis']
Elsevier , (' Brazilian journal of anesthesiology Elsevier', 90, 27047) , [' Braz J Anesthesiol']
Endeavour , (' Endeavour', 100, 3384) , [' Endeavour']
Epilepsy Research , (' Epilepsy research', 100, 3449) , [' Epilepsy Res']
European Journal of cell Biology , (' European journal of cell biology', 100, 3447) , [' Eur J Cell Biol']
European Journal of Medical Genetics , (' European journal of medical genetics', 100, 19240) , [' Eur J Med Genet']
European Neuropsychopharmacology , (' European neuropsychopharmacology  the journal of the European College of Neuropsychopharmacology', 90, 2125) , [' Eur Neuropsychopharmacol']
Experimental Cell Research , (' Experimental cell research', 100, 3504) , [' Exp Cell Res']
Experimental Eye Research , (' Experimental eye research', 100, 3507) , [' Exp Eye Res']
Experimental Hematology , (' Experimental hematology', 100, 3511) , [' Exp Hematol']
Experimental Neurology , (' Experimental neurology', 100, 3519) , [' Exp Neurol']
Experimental Parasitology , (' Experimental parasitology', 100, 3520) , [' Exp Parasitol']
FEBS Letters , (' FEBS letters', 100, 3553) , [' FEBS Lett']
Febs Letters , (' FEBS letters', 100, 3553) , [' FEBS Lett']
FEBS Open Bio , (' FEBS open bio', 100, 25225) , [' FEBS Open Bio']
Fertility and Sterility , (' Fertility and sterility', 100, 3562) , [' Fertil Steril']
Free Radical and Biology Medicine , (' Free radical biology & medicine', 95, 3755) , [' Free Radic Biol Med']
Fungal Biology , (' Fungal biology', 100, 22718) , [' Fungal Biol']
Fungal Ecology , (' Fungal ecology', 100, 21529) , [' Fungal Ecol']
Gene , (' Gene', 100, 3739) , [' Gene']
GENE , (' Gene', 100, 3739) , [' Gene']
Gene Therapy , (' Gene therapy', 100, 8147) , [' Gene Ther']
Health & Place , (' Health & place', 100, 9378) , [' Health Place']
Health and Place , (' Health & place', 95, 9378) , [' Health Place']
Immnunobiology , (' Immunobiology', 96, 4023) , [' Immunobiology']
Immunity , (' Immunity', 100, 8137) , [' Immunity']
Immunology Letters , (' Immunology letters', 100, 4050) , [' Immunol Lett']
Infection Genetics and Evolution , (' Genetics', 90, 3724) , [' Genetics']
Int Journal for Parasitology , (' Parasitology', 90, 6138) , [' Parasitology']
International Health , (' International health', 100, 22411) , [' Int Health']
International Journal for Parasitology , (' International journal for parasitology', 100, 4163) , [' Int J Parasitol']
International journal of applied earth observation and geoinformation , (' International journal of applied earth observation and geoinformation  ITC journal', 95, 24872) , [' Int J Appl Earth Obs Geoinf']
International Journal of Biochemistry & Cell Biology , (' The international journal of biochemistry & cell biology', 96, 8166) , [' Int J Biochem Cell Biol']
International Journal of Cardiology , (' International journal of cardiology', 100, 4130) , [' Int J Cardiol']
International Journal of Parasitology , (' International journal for parasitology', 96, 4163) , [' Int J Parasitol']
J Mol Biol , (' Bulletin Union County N J Dental Society', 86, 2534) , [' Bull Union Cty Dent Soc']
J Steroid Biochem Mol Biol , (' Chem', 90, 29844) , [' Chem']
Journal of Affective Disorders , (' Journal of affective disorders', 100, 4266) , [' J Affect Disord']
Journal of Affective Disorders  , (' Journal of affective disorders', 100, 4266) , [' J Affect Disord']
JOURNAL OF ALLERGY & CLINICAL IMMUNOLOGY , (' The Journal of allergy and clinical immunology', 95, 4273) , [' J Allergy Clin Immunol']
Journal of Allergy and Clinical Immunology , (' The Journal of allergy and clinical immunology', 95, 4273) , [' J Allergy Clin Immunol']
Journal of allergy and clinical immunology , (' The Journal of allergy and clinical immunology', 95, 4273) , [' J Allergy Clin Immunol']
Journal of Anthropological Archaeology , (' Journal of anthropological archaeology', 100, 27509) , [' J Anthropol Archaeol']
Journal of Archaeological Science , (' Journal of archaeological science', 100, 11878) , [' J Archaeol Sci']
Journal of Behavior Therapy and Experimental Psychiatry , (' Journal of behavior therapy and experimental psychiatry', 100, 4492) , [' J Behav Ther Exp Psychiatry']
Journal of Behaviour therapy and Experimental Psychiatry , (' Journal of behavior therapy and experimental psychiatry', 99, 4492) , [' J Behav Ther Exp Psychiatry']
